Show,,Status,Renewal,TVSeason,Network,Season,Episode,AirDay,AirTime,AirDayInitial,AirTimeInitial,AirDayTimeInitial,ChangeAirDayTime,Debut on Different Day,Premier Date,Finale Date,DaysfromTVSeasonPremiere,SeasonDays,18to49_Avg,18to49_Premiere,18to49_Max,18to49_Min,18to49_YrtoYrChange,18to49_LossGainPremiere,18to49_%DropPremiere,Total_Avg,Total_Premiere,Total_Max,Total_Min,Total_YrtoYrChange,Total_LossGainPremiere,Total_%DropPremiere,18to49_1,18to49_2,18to49_3,18to49_4,18to49_5,18to49_6,18to49_7,18to49_8,18to49_9,18to49_10,18to49_11,18to49_12,18to49_13,18to49_14,18to49_15,18to49_16,18to49_17,18to49_18,18to49_19,18to49_20,18to49_21,18to49_22,18to49_23,18to49_24,18to49_25,Average per Episode,Loss/Gain,%Drop,Total_1,Total_2,Total_3,Total_4,Total_5,Total_6,Total_7,Total_8,Total_9,Total_10,Total_11,Total_12,Total_13,Total_14,Total_15,Total_16,Total_17,Total_18,Total_19,Total_20,Total_21,Total_22,Total_23,Total_24,Total_25,Average per Episode,Loss/Gain,%Drop
Mom,Mom2017,Renewed,1,2017,CBS,5,22,Thu,9:00 PM,Thu,9:00 PM,Thu 9:00 PM,0,No,11/2/17,5/10/18,53,189,1.45,1.4,1.8,1.3,0.0193,0.05,-0.0357,7.61,8.46,9.88,7.89,0.164,-0.85,0.1005,1.4,1.5,1.4,1.8,1.4,1.4,1.4,1.4,1.7,1.6,1.6,1.4,1.5,1.5,1.4,1.3,1.4,1.4,1.3,1.4,1.4,1.4,,,,1.45,0,-3.9,8.46,8.69,8.39,7.89,8.59,8.78,8.65,8.85,9.88,9.54,9.26,9.12,8.95,9.06,8.56,8.34,8.94,8.82,8.31,8.63,9.08,7.97,,,,8.76,-0.49,-3.57
Mom,Mom2018,Renewed,1,2018,CBS,6,22,Thu,9:00 PM,Thu,9:00 PM,Thu 9:00 PM,0,No,9/27/18,5/9/19,18,224,1.2,1.3,1.4,1,-0.1772,-0.1,0.0769,7.38,7.94,9.35,6.52,-0.0877,-0.56,0.0705,1.3,1.3,1.3,1.3,1.2,1.2,1.2,1.3,1.1,1.2,1.2,1.4,1.2,1.3,1.1,1.3,1.2,1.1,1,1,1.1,1.1,,,,1.2,-0.2,7.69,7.94,7.83,8.21,8.12,7.98,7.9,8.09,7.93,7.47,7.92,7.72,9.35,8.45,8.55,7.64,8.41,8.3,7.61,6.52,7.91,7.89,8.08,,,,7.99,0.14,-0.65
Mulaney,Mulaney2014,Cancelled,0,2014,FOX,1,13,Sun,9:30 PM/7:00 PM,Sun,9:30 PM,Sun 9:30 PM,1,No,10/5/14,2/15/15,19,133,0.72,1,1.2,0.4,0,-0.28,0.28,3.15,2.3,3.37,0.99,0,0.85,-0.3696,1,1.1,1,0.7,0.9,0.7,0.6,0.4,0.5,1.2,0.4,0.5,0.4,,,,,,,,,,,,,0.72,-0.6,27.69,2.3,2.19,2.25,1.63,1.99,1.65,1.55,0.99,1.32,3.37,1.03,1.23,1.14,,,,,,,,,,,,,1.74,-1.16,24.28
Murphy Brown,Murphy Brown2018,Cancelled,0,2018,CBS,11,13,Thu,9:30 PM,Thu,9:30 PM,Thu 9:30 PM,0,No,9/27/18,12/20/18,18,84,0.85,1.1,1.1,0.7,0,-0.25,0.2273,6.35,7.5,7.5,4.75,0,-1.15,0.1533,1.1,1,1,0.9,0.8,0.8,0.8,0.9,0.8,0.8,0.8,0.7,0.7,,,,,,,,,,,,,0.85,-0.4,22.38,7.5,7.12,6.76,6.39,6.05,5.94,6.01,5.96,4.75,5.59,5.97,5.55,5.23,,,,,,,,,,,,,6.06,-2.27,19.16
Nashville,Nashville2013,Renewed,1,2013,ABC,2,22,Wed,10:00 PM,Wed,10:00 PM,Wed 10:00 PM,0,No,9/25/13,5/14/14,9,231,1.47,2,2,1.2,-0.2124,-0.53,0.265,5.78,6.5,6.5,4.62,-0.1018,-0.72,0.1108,2,1.9,1.6,1.6,1.6,1.4,1.5,1.6,1.6,1.4,1.3,1.4,1.5,1.3,1.3,1.5,1.4,1.3,1.5,1.2,1.2,1.3,,,,1.47,-0.7,26.36,6.5,5.98,5.84,5.76,5.46,5.25,5.52,5.75,5.7,5.18,5.1,5.03,5.28,5.16,4.77,5.09,5.07,5.19,5.18,4.62,4.7,5.24,,,,5.34,-1.26,17.92
Nashville,Nashville2014,Renewed,1,2014,ABC,3,22,Wed,10:00 PM,Wed,10:00 PM,Wed 10:00 PM,0,No,9/24/14,5/13/15,8,231,1.35,1.4,1.6,1.1,-0.0897,-0.05,0.0357,4.75,5.8,5.8,4.61,-0.034,-1.05,0.181,1.4,1.6,1.4,1.3,1.4,1.4,1.4,1.5,1.3,1.5,1.3,1.4,1.3,1.3,1.4,1.3,1.1,1.2,1.3,1.3,1.3,1.2,,,,1.35,-0.2,3.9,5.8,5.34,5.42,5.02,5.37,5.59,5.66,5.52,5.26,5.65,5.05,5.18,4.72,4.86,5.31,5.05,4.61,4.62,5.32,4.7,4.99,4.65,,,,5.17,-1.15,10.9
Nashville,Nashville2015,Cancelled,0,2015,ABC,4,21,Wed,10:00 PM,Wed,10:00 PM,Wed 10:00 PM,0,No,9/23/15,5/25/16,2,245,0.94,1.2,1.2,0.8,-0.2841,-0.26,0.2167,4.6,4.91,4.91,3.71,-0.1878,-0.31,0.0631,1.2,1.1,1,1.1,1.1,1.1,1,1,0.9,0.8,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.9,,,,,0.94,-0.3,21.83,4.91,4.72,4.36,4.54,4.47,4.18,4.55,4.44,4.17,4.14,4.22,4.1,3.84,4.04,4.12,3.71,3.77,3.89,3.94,3.72,4.19,,,,,4.19,-0.72,14.63
NCIS,NCIS2013,Renewed,1,2013,CBS,11,24,Tue,8:00 PM,Tue,8:00 PM,Tue 8:00 PM,0,No,9/24/13,5/13/14,8,231,2.81,3.6,3.6,2.2,-0.1592,-0.79,0.2194,17.4,20.02,20.84,15.88,-0.0411,-2.62,0.1309,3.6,3.5,2.8,3.1,3,3,2.9,3,3,2.9,2.9,3,3,3.1,2.6,2.5,2.4,2.5,2.4,2.6,2.2,2.5,2.3,2.6,,2.81,-1,21.99,20.02,19.98,18.33,18.83,18.99,19.3,19.18,19.37,19.66,19.3,19.65,20.84,19.72,19.53,17.03,17.85,17.11,17.52,17.16,17.39,17.12,17.25,15.88,16.95,,18.5,-3.07,7.6
NCIS,NCIS2014,Renewed,1,2014,CBS,12,24,Tue,8:00 PM,Tue,8:00 PM,Tue 8:00 PM,0,No,9/23/14,5/12/15,7,231,2.42,2.9,2.9,2,-0.1361,-0.48,0.1655,16.11,18.34,19.87,14.05,-0.0671,-2.23,0.1216,2.9,2.6,2.6,2.5,2.4,2.6,2.3,2.6,2.5,2.4,2.8,2.8,2.6,2.9,2.6,2.3,2.2,2.2,2.2,2.1,2,2,2,2,,2.42,-0.9,16.52,18.34,18.84,17.3,17.26,17.13,17.53,17.49,18.1,16.01,17.53,19.76,19.87,18.64,18.77,18.06,17.38,16.22,16.23,16.6,16.85,15.84,14.85,14.05,14.94,,17.23,-3.4,6.04
NCIS,NCIS2015,Renewed,1,2015,CBS,13,24,Tue,8:00 PM,Tue,8:00 PM,Tue 8:00 PM,0,No,9/22/15,5/17/16,1,238,2.21,2.5,2.7,1.9,-0.0921,-0.29,0.116,15.14,18.19,18.97,14.8,-0.0376,-3.05,0.1677,2.5,2.2,2.2,2.1,2.2,2.1,2.3,2.3,2.2,2.2,2.1,2.7,2.4,2.4,2.3,2.4,2,2,2,2,1.9,1.9,2.1,2.6,,2.21,0.1,11.5,18.19,16.53,16.87,16.04,17.22,16.82,17.98,16.68,16.59,16.19,15.53,18.97,17.51,16.94,17.34,17.47,15.44,15.1,15.9,15.67,14.8,14.86,16.04,18.01,,16.61,-0.18,8.67
NCIS,NCIS2016,Renewed,1,2016,CBS,14,24,Tue,8:00 PM,Tue,8:00 PM,Tue 8:00 PM,0,No,9/20/16,5/16/17,32,238,1.72,2.2,2.2,1.3,-0.2223,-0.48,0.2182,13.89,16,16.21,12.88,-0.1199,-2.11,0.1319,2.2,2.1,1.9,1.8,1.8,1.7,1.7,1.9,1.8,1.7,1.8,1.9,1.9,1.7,1.8,1.6,1.6,1.5,1.6,1.6,1.3,1.5,1.4,1.5,,1.72,-0.7,21.78,16,15.52,14.4,14.77,14.76,14.08,14.73,14.86,14.68,14.74,15.79,15.49,16.21,15.57,15.29,14.87,14.17,14.16,14.35,13.83,13.32,12.88,13.39,13.33,,14.63,-2.67,8.54
NCIS,NCIS2017,Renewed,1,2017,CBS,15,24,Tue,8:00 PM,Tue,8:00 PM,Tue 8:00 PM,0,No,9/26/17,5/22/18,16,238,1.4,1.6,1.6,1.2,-0.1829,-0.2,0.125,12.09,13.29,15.04,11.58,-0.1077,-1.2,0.0903,1.6,1.4,1.4,1.4,1.4,1.2,1.5,1.5,1.4,1.4,1.5,1.5,1.5,1.5,1.2,1.4,1.5,1.3,1.3,1.2,1.2,1.6,1.3,1.3,,1.4,-0.3,12.76,13.29,13.5,13.6,12.85,13.3,12.11,13.47,13.08,12.54,12.58,14.1,14.24,13.97,13.9,12.45,12.92,13.26,11.94,12.23,11.58,12.35,15.04,12.71,12.07,,13.05,-1.22,1.84
NCIS,NCIS2018,Renewed,1,2018,CBS,16,24,Tue,8:00 PM,Tue,8:00 PM,Tue 8:00 PM,0,No,9/25/18,5/21/19,16,238,1.23,1.4,1.4,1,-0.1365,-0.17,0.1214,11.21,12.56,13.37,11.26,-0.0724,-1.35,0.1075,1.4,1.4,1.4,1.2,1.2,1.3,1.4,1.2,1.2,1.3,1.2,1.3,1.4,1.2,1.2,1.1,1.2,1.1,1.2,1.1,1.1,1,1.1,1.2,,1.23,-0.2,12.5,12.56,12.13,12.36,11.87,11.26,12.32,12.47,11.95,12.04,12.28,12.08,12.21,13.37,12.74,11.77,12.08,12.18,11.89,11.82,11.88,11.8,11.66,11.7,12.1,,12.11,-0.46,3.62
NCIS: Los Angeles,NCIS: Los Angeles2013,Renewed,1,2013,CBS,5,24,Tue,9:00 PM,Tue,9:00 PM,Tue 9:00 PM,0,No,9/24/13,5/13/14,8,231,2.43,3,3,2.1,-0.1315,-0.57,0.19,13.93,16.35,16.35,12.32,-0.0481,-2.42,0.148,3,2.7,2.6,2.6,2.5,2.6,2.4,2.4,2.5,2.4,2.4,2.4,2.4,2.8,2.3,2.1,2.3,2.4,2.4,2.3,2.1,2.1,2.2,2.5,,2.43,-0.5,18.89,16.35,15.09,14.84,14.65,14.92,14.9,14.76,14.88,14.99,12.32,15.24,15.58,15.87,16.3,13.15,14.37,14.21,15.54,15.31,14.56,14.69,14.83,14.11,14.85,,14.85,-1.5,9.2
NCIS: Los Angeles,NCIS: Los Angeles2014,Renewed,1,2014,CBS,6,24,Mon,10:00 PM,Mon,10:00 PM,Mon 10:00 PM,0,No,9/29/14,5/18/15,13,231,1.6,1.9,2,1.3,-0.3458,-0.3,0.1579,8.88,9.5,11.9,7.82,-0.375,-0.62,0.0653,1.9,1.6,1.6,1.7,1.6,1.5,1.5,1.7,1.5,1.6,1.6,2,1.5,1.7,1.7,1.6,1.8,1.6,1.5,1.6,1.4,1.4,1.3,1.4,,1.6,-0.5,16.01,9.5,8.68,9.24,8.78,8.68,9.2,8.22,8.82,8.82,8.73,9.54,11.9,9.65,9.78,10.35,9.83,10.72,9.39,9.17,9.36,8.83,7.82,8.21,9.33,,9.27,-0.17,2.39
NCIS: Los Angeles,NCIS: Los Angeles2015,Renewed,1,2015,CBS,7,24,Mon,10:00 PM,Mon,10:00 PM,Mon 10:00 PM,0,No,9/21/15,5/2/16,0,224,1.31,1.2,1.6,1.1,-0.1755,0.11,-0.0917,7.34,7.89,10.64,7.66,-0.0698,-0.55,0.0697,1.2,1.2,1.2,1.1,1.3,1.3,1.3,1.3,1.2,1.4,1.4,1.6,1.6,1.5,1.6,1.3,1.2,1.3,1.3,1.2,1.3,1.1,1.2,1.3,,1.31,0.1,-9.03,7.89,7.66,8,7.84,8.77,8.41,7.91,7.91,7.8,9.52,9.22,10.5,10.64,10.06,9.75,8.82,7.94,8.78,8.76,8.91,8.24,7.79,7.87,8.1,,8.63,0.21,-9.36
NCIS: Los Angeles,NCIS: Los Angeles2016,Renewed,1,2016,CBS,8,24,Sun,8:00 PM,Sun,8:00 PM,Sun 8:00 PM,0,No,9/25/16,5/14/17,37,231,1.31,1.5,1.7,1,-0.0066,-0.19,0.1267,9.53,10.34,12.11,8.58,0.1728,-0.81,0.0783,1.5,1.5,1.5,1.4,1.7,1.2,1.4,1.6,1.5,1.5,1.4,1.3,1,1.4,1.1,1.3,1.1,1.1,1.6,1.1,1,1,1,1.2,,1.31,-0.3,12.78,10.34,10.34,11.39,10.89,11.4,9.74,10.26,12.11,10.43,11.39,10.37,10.4,8.58,11.29,8.61,9.46,9.26,9.1,11.17,9.51,9.44,9.08,9.06,9.4,,10.13,-0.94,2.07
NCIS: Los Angeles,NCIS: Los Angeles2017,Renewed,1,2017,CBS,9,24,Sun,9:00 PM,Sun,9:00 PM,Sun 9:00 PM,0,No,10/1/17,5/20/18,21,231,0.9,1.3,1.3,0.7,-0.3078,-0.4,0.3077,8.2,8.95,9.12,6.95,-0.2193,-0.75,0.0838,1.3,1,1.1,1.1,0.8,0.9,0.9,0.7,0.9,0.8,0.9,0.9,1.1,0.9,0.9,1.1,0.8,0.9,0.8,0.7,0.8,0.8,0.8,0.8,,0.9,-0.5,30.45,8.95,8.46,8.65,8.18,7.5,8.03,7.86,6.95,7.64,7.53,7.21,7.87,9.12,8.03,8.02,8.58,7.12,8.14,7.57,7.62,7.71,7.32,7.82,7.82,,7.9,-1.13,11.69
NCIS: Los Angeles,NCIS: Los Angeles2018,Renewed,1,2018,CBS,10,23,Sun,9:00 PM,Sun,9:00 PM,Sun 9:00 PM,0,No,9/30/18,5/19/19,21,231,0.83,1.1,1.1,0.5,-0.0996,-0.27,0.2455,7.35,8.75,8.75,4.95,-0.1006,-1.4,0.16,1.1,0.8,1,1.1,0.8,0.7,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.8,0.7,0.9,0.9,0.9,1,0.6,0.5,0.6,0.5,,,0.83,-0.6,24.9,8.75,7.54,7.63,8.35,7.19,7.04,6.85,7.22,7.2,7.5,7.21,7.59,8.31,6.75,6.74,6.97,8.47,7.16,7.5,5.66,4.95,5.98,5.28,,,7.12,-3.47,18.59
NCIS: New Orleans,NCIS: New Orleans2014,Renewed,1,2014,CBS,1,23,Tue,9:00 PM,Tue,9:00 PM,Tue 9:00 PM,0,No,9/23/14,5/12/15,7,231,2.08,2.5,2.5,1.6,0,-0.42,0.168,14.21,17.37,17.73,12.61,0,-3.16,0.1819,2.5,2.3,2.3,2.2,2.4,2.3,2,2.3,2.3,1.9,2.5,2.3,2.2,2.3,2,1.9,1.6,1.8,1.7,1.8,1.9,1.6,1.7,,,2.08,-0.8,16.87,17.37,16.57,15.41,16.14,16.13,16.09,14.99,16.86,14.47,14.14,17.73,16.39,16.52,16.19,14.7,13.71,12.61,14.42,14.33,14.4,14.55,13.35,13.61,,,15.25,-3.76,12.22
NCIS: New Orleans,NCIS: New Orleans2015,Renewed,1,2015,CBS,2,24,Tue,9:00 PM,Tue,9:00 PM,Tue 9:00 PM,0,No,9/22/15,5/17/16,1,238,1.75,1.7,2.5,1.5,-0.1592,0.05,-0.0294,11.36,12.62,17.25,11.72,-0.1496,-1.26,0.0998,1.7,1.7,1.7,1.5,1.6,1.6,1.9,1.7,1.7,1.6,1.7,2.5,1.8,1.8,2,1.8,1.6,1.6,1.8,1.7,1.6,1.8,1.7,1.8,,1.75,0.1,-2.7,12.62,12.86,14.18,12.47,12.99,13.06,14.15,12.39,13.01,11.85,12.09,17.25,13.3,12.57,13.42,12.6,11.72,11.97,13.38,12.28,12.22,12.56,13.24,13.3,,12.98,0.68,-2.84
NCIS: New Orleans,NCIS: New Orleans2016,Renewed,1,2016,CBS,3,24,Tue,10:00 PM,Tue,10:00 PM,Tue 10:00 PM,0,No,9/20/16,5/16/17,32,238,1.17,1.4,1.5,1,-0.326,-0.23,0.1643,9.16,11.12,11.12,8.5,-0.2622,-1.96,0.1763,1.4,1.5,1.2,1.2,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1,1.2,1.1,1.1,1.2,1.2,1.1,1,1.1,1,1,1.1,,1.17,-0.3,16.67,11.12,10.76,9.62,9.53,9.62,9.17,8.5,9.36,10.01,9.62,9.33,9.18,9.01,10.32,9.58,9.06,10.42,10.42,9.17,8.88,10.16,8.69,9.02,9.22,,9.57,-1.9,13.91
NCIS: New Orleans,NCIS: New Orleans2017,Renewed,1,2017,CBS,4,24,Tue,10:00 PM,Tue,10:00 PM,Tue 10:00 PM,0,No,9/26/17,5/15/18,16,231,0.95,1,1.1,0.8,-0.1897,-0.05,0.05,7.98,8.78,9.67,7.99,-0.0751,-0.8,0.0911,1,1,1,1.1,1.1,0.9,1,1.1,0.9,0.9,1,1,1,0.9,0.9,0.9,1,0.9,0.9,0.8,0.9,0.8,0.9,0.9,,0.95,-0.1,5,8.78,9.23,9.52,9.54,9.52,8.86,9.22,9.67,7.99,8.21,9.1,8.7,9.3,8.38,8.26,8.44,9.25,8.53,8.43,8.46,8.13,8.11,9.44,9.44,,8.85,0.66,-0.85
NCIS: New Orleans,NCIS: New Orleans2018,Renewed,1,2018,CBS,5,24,Tue,10:00 PM,Tue,10:00 PM,Tue 10:00 PM,0,No,9/25/18,5/14/19,16,231,0.79,1,1,0.6,-0.1827,-0.21,0.21,7.36,9.97,9.97,6.46,-0.1771,-2.61,0.2618,1,1,0.9,0.8,0.8,0.9,0.9,0.8,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.8,0.6,0.7,0.6,0.7,0.7,0.6,,0.79,-0.4,21.25,9.97,7.84,7.91,7.2,7.12,7.56,7.58,7.47,8.33,7.76,7.29,6.7,7.16,7.04,7.19,6.98,7.18,7.19,6.69,6.54,6.46,7.16,6.68,6.93,,7.33,-3.04,26.48
New Amsterdam,New Amsterdam2018,Renewed,1,2018,NBC,1,22,Tue,10:00 PM,Tue,10:00 PM,Tue 10:00 PM,0,No,9/25/18,5/14/19,16,231,1.07,1.8,1.8,0.6,0,-0.73,0.4056,6.84,8.39,8.39,4.47,0,-1.55,0.1847,1.8,1.5,1.4,1.2,1.4,1.3,1.1,1.1,1.1,1,1,1,1,1,1,1,0.7,0.6,0.8,0.8,0.8,0.9,,,,1.07,-0.9,40.66,8.39,7.44,7.04,6.27,6.37,6.66,6.02,5.82,6.26,5.35,5.61,5.76,5.69,5.58,5.82,5.98,4.61,4.47,5.18,5.24,5.19,5.54,,,,5.92,-2.85,29.41
New Girl,New Girl2013,Renewed,1,2013,FOX,3,23,Tue,9:00 PM,Tue,9:00 PM,Tue 9:00 PM,0,No,9/17/13,5/6/14,1,231,2.1,2.9,11.4,1.1,-0.0902,-0.8,0.2759,4.99,5.53,26.3,2.19,-0.0216,-0.54,0.0976,2.9,2.1,1.9,2.1,1.8,1.8,2,1.7,1.7,1.9,1.6,1.6,1.9,11.4,1.6,1.3,1.4,1.5,1.3,1.2,1.2,1.1,1.2,,,2.1,-1.7,27.74,5.53,4.04,3.85,3.96,3.45,3.74,3.85,3.36,3.26,3.51,3.2,3.24,3.75,26.3,3.48,2.97,2.84,2.93,2.48,2.49,2.19,2.2,2.4,,,4.31,-3.13,22.15
New Girl,New Girl2014,Renewed,1,2014,FOX,4,22,Tue,9:00 PM,Tue,9:00 PM,Tue 9:00 PM,0,No,9/16/14,5/5/15,0,231,1.32,1.7,1.7,0.9,-0.3717,-0.38,0.2235,3.32,3.04,3.38,2.07,-0.3686,0.28,-0.0921,1.7,1.3,1.3,1.4,1.2,1.6,1.3,1.4,1.3,1.4,1.5,1.5,1.4,1.4,1.3,1.4,1.3,1.3,1,0.9,1,1.1,,,,1.32,-0.6,22.46,3.04,2.35,2.37,2.61,2.26,3.38,3.01,2.83,2.77,3,3.28,3.19,2.9,2.96,2.71,3.08,2.85,2.53,2.32,2.14,2.07,2.22,,,,2.72,-0.82,10.48
New Girl,New Girl2015,Renewed,1,2015,FOX,5,22,Tue,8:00 PM,Tue,8:00 PM,Tue 8:00 PM,0,No,1/5/16,5/10/16,106,126,1.11,1.4,1.5,0.8,-0.1474,-0.29,0.2071,3.06,3.33,3.33,1.75,-0.0748,-0.27,0.0811,1.4,1.5,1.3,1.2,1.4,1.4,1.2,1.2,1.2,1.2,1,1,0.9,1.1,0.9,0.8,1,0.8,0.9,1,1.1,1,,,,1.11,-0.4,20.45,3.33,3.25,2.95,2.84,2.94,3.1,2.8,2.68,2.62,2.65,2.3,2.25,2.21,2.65,2.09,1.75,2.42,1.87,1.88,2.27,2.34,2.17,,,,2.52,-1.16,24.43
New Girl,New Girl2016,Renewed,1,2016,FOX,6,22,Tue,8:30 PM/8:00 PM,Tue,8:30 PM,Tue 8:30 PM,1,No,9/20/16,4/4/17,32,196,0.93,1.2,1.2,0.8,-0.1656,-0.27,0.225,2.73,2.31,2.48,1.62,-0.1822,0.42,-0.1818,1.2,1,1,0.9,0.9,1,0.8,0.8,0.8,0.8,1.1,1.1,1,0.9,1,0.9,1,0.9,0.8,0.8,0.9,0.9,,,,0.93,-0.3,22.35,2.31,2.03,2.03,1.95,1.81,1.94,1.76,1.81,1.73,1.62,2.48,2.48,2.37,2.35,2.23,2.13,2.25,2.09,1.79,1.98,2.16,2,,,,2.06,-0.31,10.86
New Girl,New Girl2017,Ended,0,2017,FOX,7,8,Tue,9:30 PM,Tue,9:30 PM,Tue 9:30 PM,0,No,4/10/18,5/15/18,212,35,0.58,0.7,0.7,0.5,-0.3763,-0.12,0.1714,2.65,1.83,1.83,0.47,-0.2835,0.82,-0.4481,0.7,0.6,0.6,0.5,0.5,0.5,0.6,0.6,,,,,,,,,,,,,,,,,,0.58,-0.1,17.86,1.83,1.58,1.51,1.33,1.4,1.24,0.47,1.5,,,,,,,,,,,,,,,,,,1.36,-0.33,25.82
Nikita,Nikita2013,Ended,0,2013,CW,4,6,Fri,9:00 PM,Fri,9:00 PM,Fri 9:00 PM,0,No,11/22/13,12/27/13,67,35,0.22,0.2,0.3,0.2,-0.3382,0.02,-0.1,-0.39,0.74,0.86,0.64,-0.323,-1.13,1.527,0.2,0.2,0.3,0.2,0.2,0.2,,,,,,,,,,,,,,,,,,,,0.22,0,-8.33,0.74,0.86,0.85,0.64,0.69,0.82,,,,,,,,,,,,,,,,,,,,0.77,0.08,-3.6
No Tomorrow,No Tomorrow2016,Cancelled,0,2016,CW,1,13,Tue,9:00 PM,Tue,9:00 PM,Tue 9:00 PM,0,No,10/4/16,1/17/17,46,105,0.28,0.5,0.5,0.2,0,-0.22,0.44,3.43,1.51,1.51,0.51,0,1.92,-1.2715,0.5,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,,,,,,,,,,,,,0.28,-0.3,44.62,1.51,0.74,0.81,0.78,0.76,0.8,0.8,0.94,0.8,0.6,0.51,0.7,0.58,,,,,,,,,,,,,0.79,-0.93,47.38
Notorious,Notorious2016,Cancelled,0,2016,ABC,1,10,Thu,9:00 PM,Thu,9:00 PM,Thu 9:00 PM,0,No,9/22/16,12/8/16,34,77,0.87,1.1,1.1,0.5,0,-0.23,0.2091,4.68,5.39,5.39,2.58,0,-0.71,0.1317,1.1,1.1,0.9,0.8,0.9,0.8,0.8,0.9,0.9,0.5,,,,,,,,,,,,,,,,0.87,-0.6,20.91,5.39,4.51,4.2,3.9,3.89,3.75,3.6,3.77,4.12,2.58,,,,,,,,,,,,,,,,3.97,-2.81,26.33
Of Kings and Prophets,Of Kings and Prophets2015,Cancelled,0,2015,ABC,1,2,Tue,10:00 PM,Tue,10:00 PM,Tue 10:00 PM,0,No,3/8/16,3/15/16,169,7,0.65,0.8,0.8,0.5,0,-0.15,0.1875,4.97,3.33,3.33,2.42,0,1.64,-0.4925,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,0.65,-0.3,18.75,3.33,2.42,,,,,,,,,,,,,,,,,,,,,,,,2.88,-0.91,13.66
Once Upon A Time,Once Upon A Time2013,Renewed,1,2013,ABC,3,22,Sun,8:00 PM,Sun,8:00 PM,Sun 8:00 PM,0,No,9/29/13,5/11/14,13,224,2.19,2.6,2.6,1.7,-0.192,-0.41,0.1577,6.94,8.52,8.52,5.95,-0.1633,-1.58,0.1854,2.6,2.6,2.4,2.1,2.2,2.3,2.1,1.9,1.9,2.1,1.9,2.4,2.4,2.1,2.1,2.4,2,1.7,2.2,2.1,2.3,2.3,,,,2.19,-0.3,15.91,8.52,8,7.53,7.05,7.23,7.55,6.71,6.66,6.64,6.94,6.44,7.66,7.75,6.91,6.64,7.26,6.5,5.95,7.34,6.86,6.8,6.8,,,,7.08,-1.72,16.91
Once Upon A Time,Once Upon A Time2014,Renewed,1,2014,ABC,4,22,Sun,8:00 PM,Sun,8:00 PM,Sun 8:00 PM,0,No,9/28/14,5/10/15,12,224,2.18,3.5,3.5,1.6,-0.0101,-1.32,0.3771,7.32,10.2,10.2,5.12,-0.0739,-2.88,0.2824,3.5,3.3,2.7,2.7,2.4,2.6,2.5,2.4,2.1,2,1.7,2.2,2.1,1.8,1.9,1.7,1.6,1.7,1.7,1.7,1.8,1.8,,,,2.18,-1.7,37.79,10.2,9.24,7.92,8.07,6.87,7.54,7.42,6.8,6.43,6.2,5.69,6.66,6.72,5.88,5.79,5.48,5.17,5.12,5.21,5.31,5.51,5.51,,,,6.58,-4.69,35.5
Once Upon A Time,Once Upon A Time2015,Renewed,1,2015,ABC,5,23,Sun,8:00 PM,Sun,8:00 PM,Sun 8:00 PM,0,No,9/27/15,5/15/16,6,231,1.37,1.8,1.8,1,-0.3723,-0.43,0.2389,4.88,5.93,5.93,3.51,-0.3298,-1.05,0.1771,1.8,1.8,1.6,1.6,1.6,1.5,1.6,1.6,1.6,1.3,1.3,1.3,1.3,1.1,1,1.1,1.2,1.2,1.2,1.2,1.1,1.2,1.2,,,1.37,-0.6,24.15,5.93,5.38,5.28,4.92,5.12,4.83,4.88,4.85,4.85,4.38,4.56,4.01,4.31,3.54,3.51,3.78,3.75,3.76,3.85,3.77,3.75,4.07,4.07,,,4.4,-1.86,25.84
Once Upon A Time,Once Upon A Time2016,Renewed,1,2016,ABC,6,22,Sun,8:00 PM,Sun,8:00 PM,Sun 8:00 PM,0,No,9/25/16,5/14/17,37,231,0.93,1.3,1.3,0.7,-0.3155,-0.37,0.2846,3.93,3.99,4.11,2.51,-0.2831,-0.06,0.015,1.3,1.1,1.2,1.1,1,0.9,1.1,0.9,1,0.9,0.9,0.9,0.8,0.9,0.8,0.7,0.7,0.8,0.9,0.8,0.9,0.9,,,,0.93,-0.4,28.32,3.99,3.72,4.11,3.53,3.4,3.06,3.56,3.4,3.27,3.27,3.03,3.06,2.71,2.85,2.8,2.6,2.51,2.69,3.05,2.87,2.95,2.95,,,,3.15,-1.04,20.96
